time0	time1	time2	D.value
0	150	150	0.003796614
0	150	150	0.003974756
0	150	150	0.003995156
0	150	150	0.004040671
0	150	150	0.004046553
0	150	150	0.004048672
0	150	150	0.004127623
0	150	150	0.004161481
0	150	150	0.004165985
0	150	150	0.004177536
0	150	150	0.00421219
0	150	150	0.004255957
0	150	150	0.004261786
0	150	150	0.004287219
0	150	150	0.004323674
0	150	150	0.004341796
35	150	150	0.00248201
35	150	150	0.002537964
35	150	150	0.002734969
37	150	150	0.002693375
37	150	150	0.002778048
37	150	150	0.002834214
67	150	150	0.00248307
67	150	150	0.002743871
78	150	150	0.002846348
78	150	150	0.002956031
103	150	150	0.002343079
106	150	150	0.002357173
